year,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja,pdsi.sep,stream.yel,swe.yel,tmax.lsum
1629,,,,,,,,,,,,,84.68108922,61.335,-0.36
1630,,,,,,,,,,,,,68.04346724,66.669,0.58
1631,,,,,,,,,,,,,57.25144276,55.846,1.29
1632,,,,,,,,,,,,,32.86899577,70.925,1.25
1633,,,,,,,,,,,,,217.1633015,38.082,-0.09
1634,,,,,,,,,,,,,105.3868529,40.198,1.25
1635,,,,,,,,,,,,,68.99004616,56.969,1.18
1636,,,,,,,,,,,,,92.21178638,32.193,0.51
1637,,,,,,,,,,,,,70.59703077,72.094,-0.24
1638,,,,,,,,,,,,,88.671986,37.027,0.28
1639,,,,,,,,,,,,,65.58226859,51.246,0.95
1640,,,,,,,,,,,,,165.8771006,47.342,0.24
1641,,,,,,,,,,,,,148.1789236,86.368,-2.04
1642,,,,,,,,,,,,,122.6835786,57.801,-0.58
1643,,,,,,,,,,,,,97.90084392,50.767,-0.32
1644,,,,,,,,,,,,,83.32713224,54.149,-0.66
1645,,,,,,,,,,,,,55.691182,50.576,0.84
1646,,,,,,,,,,,,,44.64639893,55.786,0.77
1647,,,,,,,,,,,,,98.57946016,45.492,1.85
1648,,,,,,,,,,,,,75.64608137,61.46,-0.24
1649,,,,,,,,,,,,,75.64608137,41.636,1.4
1650,,,,,,,,,,,,,132.369045,58.583,1.33
1651,,,,,,,,,,,,,104.4206604,38.841,1.18
1652,,,,,,,,,,,,,62.3428189,42.849,1.59
1653,,,,,,,,,,,,,72.74220065,43.657,0.51
1654,,,,,,,,,,,,,123.8187558,62.496,0.62
1655,,,,,,,,,,,,,105.6297947,49.577,0.13
1656,,,,,,,,,,,,,79.02899071,48.22,0.58
1657,,,,,,,,,,,,,45.16337987,58.142,0.73
1658,,,,,,,,,,,,,74.78016783,53.684,0.88
1659,,,,,,,,,,,,,64.83155457,36.737,0.43
1660,,,,,,,,,,,,,89.08127729,52.253,-1.55
1661,,,,,,,,,,,,,94.79521928,41.913,0.69
1662,,,,,,,,,,,,,103.7018336,57.18,-0.92
1663,,,,,,,,,,,,,91.78811171,90.536,-1.1
1664,,,,,,,,,,,,,105.3868529,51.421,-0.43
1665,,,,,,,,,,,,,82.94427884,56.167,-1.18
1666,,,,,,,,,,,,,144.1406365,51.708,-0.43
1667,,,,,,,,,,,,,69.30848974,69.604,-0.13
1668,,,,,,,,,,,,,105.3868529,51.063,-0.32
1669,,,,,,,,,,,,,94.14265358,67.806,-1.89
